pmid,geneId,diseaseId,label
10353779,5728,D006223,1
10357835,345,D006950,1
10359483,4128,D000437,1
10362030,1636,D012507,1
10364516,1736,D019871,1
10364917,1557,D008180,1
10365914,3480,D012878,1
10366111,350,D008180,1
10366128,3565,D008180,1
10366128,3566,D008180,1
10369261,4598,D005076,1
10369261,4598,D005334,1
10369261,4598,D018771,1
10369262,4598,D054078,1
10369264,5959,C562733,1
10369266,6496,D016142,1
10369308,6329,D020967,1
10371375,1636,D003924,1
10371548,4854,D046589,1
10372542,1493,D002446,1
10376119,5080,D012559,1
10381328,410,D007966,1
10381515,5196,D013921,1
10381903,5644,D050500,1
10383749,1294,C563192,1
10389978,7157,D006528,1
10391221,10560,C536510,1
10394937,4035,D000544,1
10395102,7133,D008180,1
10395222,1312,D000437,1
10395868,3586,D020031,1
10397258,6598,D018335,1
10398237,546,C537457,1
10399104,875,D050197,1
10399947,675,D001943,1
10400139,1234,D003922,1
10400907,183,D006973,1
10400992,6647,C531617,1
10401001,4598,D054078,1
10401004,538,D007706,1
10402502,1814,D012559,1
10402509,1813,D012559,1
10403259,3123,D001172,1
10403400,3459,D008180,1
10403400,3460,D008180,1
10404084,1586,D001943,1
10404093,5743,D013274,1
10405934,2214,D008180,1
10406990,348,D009103,1
10408777,6794,D010580,1
10408778,1589,C535979,1
10408783,5860,D010661,1
10408784,2157,D006467,1
10408807,4803,D020244,1
10408973,1493,D009103,1
10411504,1298,C535531,1
10417275,4598,D054078,1
10418172,1543,D008175,1
10421657,54658,D005878,1
10422803,3949,D006938,1
10425041,2200,D008382,1
10428046,6648,D055577,1
10431237,19,D013631,1
10433912,1749,D019465,1
10436404,7421,D053040,1
10441340,5048,D054221,1
10441342,2737,C537300,1
10441482,1548,D008175,1
10441570,2737,C562429,1
10441571,5080,C537884,1
10441575,2131,D002813,1
10441575,2131,D005097,1
10443546,7200,D012640,1
10443650,3643,D056731,1
10443997,6532,D000437,1
10445756,1544,D006529,1
10445756,1544,D013163,1
10445756,1544,D064420,1
10446171,6662,D055036,1
10447258,5189,D015211,1
10447259,7454,C564052,1
10447259,7454,D014923,1
10447263,3949,D006938,1
10447264,3423,D016532,1
10447266,2629,D005776,1
10447268,5096,D056693,1
10447527,2997,D003924,1
10447650,4541,D029242,1
10451710,4763,D009455,1
10451958,3123,D014607,1
10453738,5167,C537143,1
10453740,3145,D017118,1
10458483,367,D013734,1
10459572,4524,D020138,1
10462014,1906,D017202,1
10462600,875,D006712,1
10464147,2235,D001649,1
10464147,2235,D005355,1
10464147,2235,D046351,1
10464603,3077,D003550,1
10464662,3356,D001523,1
10465499,7421,D009103,1
10466419,3425,D008059,1
10467420,1499,D008113,1
10467834,1401,D007898,1
10468508,3115,D009103,1
10468973,5698,D006111,1
10469306,3586,D011565,1
10469321,1896,D053358,1
10471058,1565,D008545,1
10471507,8838,C535387,1
10477430,7389,D017119,1
10477432,410,D007966,1
10477434,2581,D007965,1
10479408,3586,D009102,1
10479479,2328,C536561,1
10480364,215,D000326,1
10482956,1497,D003554,1
10482963,3784,D029597,1
10484772,4693,C537849,1
10486317,5498,D046350,1
10487631,7157,D010051,1
10487664,5745,C537564,1
10487688,8453,D010673,1
10488958,183,D003324,1
10489052,5376,D002607,1
10489105,1907,D006973,1
10490706,1312,D001289,1
10490711,7054,D001714,1
10490712,2560,D000437,1
10491309,3460,D001249,1
10491406,2247,D006332,1
10494094,3852,C535959,1
10500062,3557,D003093,1
10501358,6716,D011471,1
10502720,367,D011471,1
10502831,5009,D020163,1
10504484,348,C567089,1
10505747,3458,D009103,1
10506123,11285,C536201,1
10506726,2056,D000740,1
10508506,2956,D016889,1
10508514,4204,D015518,1
10508524,2055,C537952,1
10514107,4846,D000544,1
10515446,7040,D009404,1
10515860,355,D056735,1
10519592,6821,C538141,1
10519734,1071,D006949,1
10520641,1234,D001249,1
10522893,2898,D006816,1
10522904,7124,D009103,1
10522989,5979,D018813,1
10523018,5468,D009765,1
10523339,3291,C537422,1
10526905,183,D006973,1
10526907,2784,D006973,1
10528858,6197,D038921,1
10533030,7428,D006623,1
10533863,19,D052456,1
10534569,4221,D018761,1
10541004,1813,D012559,1
10544227,540,D006527,1
10544909,6403,D013927,1
10544980,4693,C537849,1
10545420,3845,D000236,1
10545420,3845,D008175,1
10545596,2022,D013683,1
10545605,6584,C536778,1
10545612,860,D002973,1
10545953,3339,D010009,1
10545953,3339,D019465,1
10546209,183,D006973,1
10547078,3479,D006332,1
10547998,183,D006973,1
10548319,1576,D011471,1
10549825,5663,D000544,1
10551543,1312,D000437,1
10555044,6532,D005356,1
10556270,3586,D008180,1
10556299,1497,D003554,1
10558867,2099,D000544,1
10559218,6584,C536778,1
10561141,1287,D009394,1
10563487,1287,D009394,1
10563634,348,D000544,1
10564334,3849,D053560,1
10566598,7124,D003922,1
10566637,6770,C537027,1
10566648,1588,C537436,1
10568518,3123,D000544,1
10570779,551,D012769,1
10571943,7490,D052159,1
10571951,367,D013734,1
10571954,178,D006010,1
10572328,886,D012559,1
10573008,1756,D020388,1
10574673,2263,D003394,1
10576317,6532,D001714,1
10576763,4221,D018761,1
10577905,4204,D015518,1
10577908,224,D016111,1
10578237,6531,D000437,1
10581022,5995,D012174,1
10581026,1302,C566612,1
10581036,26503,D029461,1
10581255,10195,C535742,1
10581481,1312,D012559,1
10582612,2643,C538007,1
10583221,1736,D019871,1
10583255,2815,D001606,1
10586529,183,D006973,1
10587015,2705,D002607,1
10587578,348,D009203,1
10587585,4000,D052496,1
10589545,7157,D005910,1
10590022,3141,D028922,1
10590024,367,D013734,1
10591544,1586,D011471,1
10594001,3081,D000474,1
10595683,5664,D000544,1
10599336,10,D008180,1
10601117,2784,D006973,1
10602775,3145,D017118,1
10604740,6752,D009447,1
10606881,2160,D005173,1
10606976,5896,D016511,1
10607834,4763,D009456,1
10609072,1586,D001172,1
10610716,427,D055577,1
10612838,695,C537409,1
10612841,4210,D010505,1
10612851,6261,D008305,1
10615958,6833,D044903,1
10616841,6559,D053579,1
10617276,4221,D018761,1
10617681,3357,D006349,1
10617778,5959,C562733,1
10618415,6774,D006332,1
10618415,6774,D009202,1
10619997,1071,D002340,1
10620137,3849,D053560,1
10620140,1294,D016108,1
10621833,7157,D013274,1
10623683,6794,D010580,1
10625078,1497,C535765,1
10625079,2022,D013683,1
10627132,1029,D010190,1
10627136,7428,D006623,1
10627136,7428,D010673,1
10627139,6331,D008133,1
10629575,1440,D000741,1
10631150,3162,D011656,1
10631160,3110,C536221,1
10631206,3553,D009336,1
10631206,7124,D009336,1
10633878,4760,D003922,1
10634138,5444,D003324,1
10634239,10,D010300,1
10634818,1401,D009203,1
10635329,7428,D006623,1
10636447,4023,D011225,1
10642506,51268,D018901,1
10643709,356,D008180,1
10647630,3684,D007079,1
10647889,6834,D007888,1
10651488,1080,C535984,1
10652017,4846,D003922,1
10653021,4803,D007249,1
10655056,10002,C564835,1
10655060,4000,D052496,1
10657149,3145,D017118,1
10657949,5743,D010190,1
10660339,4221,D018761,1
10662748,6331,D053840,1
10663555,3566,D015212,1
10663978,5376,D015417,1
10665486,8292,C566415,1
10665499,351,D000544,1
10665661,5972,D006973,1
10666208,2244,D000347,1
10666231,2539,D000746,1
10666231,2539,D005955,1
10666480,2717,D000795,1
10667581,7421,D011471,1
10668930,885,D010300,1
10671065,3423,D016532,1
10671067,4948,C537730,1
10671068,5925,D012175,1
10671304,3552,D003922,1
10671320,348,D000544,1
10672133,1636,D012507,1
10673262,153,D006973,1
10673365,4842,D001249,1
10673511,2247,D005910,1
10673769,1621,D010259,1
10673776,1815,D006556,1
10675358,190,C536757,1
10677299,1717,D019082,1
10677561,551,D020790,1
10679296,2132,D005097,1
10679949,4547,D000012,1
10679952,412,D016114,1
10680816,7157,D007968,1
10682987,7439,D057826,1
10684360,1287,D009394,1
10685360,3552,D010518,1
10686545,4128,D019964,1
10688369,3849,D053560,1
10690282,6331,D053840,1
10690530,7421,D008545,1
10690877,1493,D000224,1
10691930,4277,D011565,1
10694184,154,D006973,1
10694685,7051,D017490,1
10694834,2056,D006973,1
10694921,2200,D008382,1
10697826,1814,D019964,1
10698074,6647,D007511,1
10698074,6647,D020521,1
10699424,3949,D003324,1
10700177,81,C538457,1
10700480,5172,C536648,1
10700480,5172,C566366,1
10703622,7133,D008180,1
10706591,19,D013631,1
10710235,50814,C562515,1
10711605,3552,D010518,1
10711606,3552,D010518,1
10712197,4763,D009456,1
10713357,5175,D009103,1
10714094,4846,D009203,1
1071603,5972,D006973,1
10716256,3552,D000544,1
10720040,1589,C535979,1
10728423,3784,D029597,1
10733484,2729,C565557,1
10736278,348,D003327,1
10738002,7490,D030321,1
10739764,4000,D020389,1
10739843,3972,D007248,1
10741738,4320,D002289,1
10742103,4488,C566826,1
10742108,1395,D001008,1
10742114,10683,C537565,1
10745042,4204,D015518,1
10746561,6834,D007888,1
10746614,859,C563362,1
10751093,410,D007966,1
10752629,7124,D017453,1
10753955,5743,D011471,1
10758249,3350,D019964,1
10760079,7450,D007674,1
10762170,2632,C564878,1
10763829,5395,C536928,1
10764647,6647,C531617,1
10766188,7508,C567886,1
10767176,4952,D009800,1
10767338,27032,D016506,1
10767344,5264,D012035,1
10767350,1352,D030401,1
10767351,4488,C566826,1
10768099,3358,D009765,1
10768621,5663,D000544,1
10770218,554,D018500,1
10775529,7399,D012174,1
10776673,1815,D000437,1
10776673,7533,D000437,1
10777366,2261,C562937,1
10777671,3123,D009290,1
10779847,5077,D014849,1
10780268,6532,D012559,1
10781441,7132,D018496,1
10781441,7132,D055370,1
10781519,3859,D053559,1
10782015,3852,D016110,1
10782018,3145,D017118,1
10787434,4023,D008072,1
10788334,672,D001943,1
10788334,672,D010051,1
10790207,540,D006527,1
10790209,4771,D016518,1
10790216,5621,D007562,1
10791557,3043,D000755,1
10792356,3117,D001249,1
10792356,3119,D001249,1
10792613,4868,C535761,1
10792963,847,D006940,1
10794074,5368,D007022,1
10794598,1636,D003324,1
10797276,7157,D000230,1
10797403,1756,D009136,1
10797416,2201,C536211,1
10798361,6519,D003555,1
10798642,7439,D057826,1
10799199,7490,D030321,1
10801058,5373,C535739,1
10802129,3356,D001714,1
10803682,3176,D001249,1
10805333,10166,C538380,1
10805403,183,D017379,1
10807537,5888,D001943,1
10807541,2189,D005199,1
10807542,1641,D054221,1
10809862,3566,D003876,1
10814714,2719,C537340,1
10814719,4204,D015518,1
10814726,4000,C535898,1
10815854,5468,D011565,1
10817561,5155,D012595,1
10817561,7040,D012595,1
10822351,4922,D012559,1
10823104,6261,D008305,1
10830865,540,D006527,1
10831475,4128,D001714,1
10831489,1813,D012559,1
10833331,875,D003324,1
10833424,4842,D001249,1
10835640,6690,D050500,1
10836394,3440,D006509,1
10837363,6556,D012507,1
10839714,3868,D053549,1
10839884,4867,C537699,1
10839995,2720,D016537,1
10840461,2952,D001749,1
10842287,6910,C535326,1
10844506,3848,D017488,1
10848616,190,C536757,1
10848881,7124,D049970,1
10849024,12,D029424,1
10849579,4889,D009765,1
10852383,3123,D001172,1
10852552,3786,C535466,1
10854105,4210,D010505,1
10854111,4854,D046589,1
10856194,2324,D008209,1
10856487,1080,D053713,1
10857800,6556,D001172,1
10857950,1636,D003928,1
10858612,1812,D004409,1
10859282,7040,D009203,1
10860861,6548,D003922,1
10861298,5172,C536648,1
10861667,4914,D009477,1
10862091,1287,D009394,1
10864190,6556,D014376,1
10866311,3458,D003110,1
10867787,351,D000544,1
10868744,3784,D008133,1
10868947,5506,D007333,1
10868948,3170,D003924,1
10869290,1244,D002779,1
10870033,2690,D046150,1
10870850,5498,D046350,1
10872800,1278,D012595,1
10873095,5743,D001749,1
10873095,5743,D002295,1
10874303,10560,C536510,1
10874305,2113,D008180,1
10875853,1080,C535984,1
10878663,1513,D058631,1
10881173,5321,D012128,1
10881204,1813,D000437,1
10883733,4846,D006973,1
10884465,4846,D020521,1
10886198,2157,D006467,1
10886234,3458,D006967,1
10886238,3557,D009220,1
10888365,348,D009103,1
10888601,158,C538235,1
10888878,5071,D020734,1
10889525,886,D012559,1
10889537,4524,D012559,1
10889551,6616,D001289,1
10889555,1814,D012559,1
10890648,7124,D009102,1
10890885,6696,D007669,1
10891444,2243,D000347,1
10893484,3356,D001714,1
10893491,6532,D001714,1
10894818,3990,D050171,1
10894999,2705,C535919,1
10896236,2157,D006467,1
10896912,7421,D003424,1
10897051,1586,D011471,1
10898904,1813,D000437,1
10898905,6532,D000544,1
10899738,100507436,D003323,1
10903806,3458,D009336,1
10903806,3553,D009336,1
10903931,659,D065627,1
10904024,1636,D006973,1
10908648,23092,D054429,1
10908904,4000,D020389,1
10910910,2157,D006467,1
10914558,4609,D009190,1
10914677,487,C536607,1
10914684,29929,C535741,1
10914685,3949,D009765,1
10916280,2717,D000795,1
10918550,1636,D017379,1
10923037,4952,D009800,1
10923041,1281,D004535,1
10923046,4594,C565390,1
10923420,7124,D008180,1
10923445,1636,D003928,1
10923647,7345,D010300,1
10928480,2812,D001606,1
10930038,3265,D006394,1
10930038,3845,D006394,1
10930538,9429,D001943,1
10930589,6647,D000690,1
10932009,183,D020521,1
10932176,4855,D012559,1
10932185,6259,D002972,1
10932185,6259,D019465,1
10932186,4920,C535863,1
10932187,4920,C535863,1
10932283,348,D004833,1
10934093,154,D001249,1
10934117,7124,D011658,1
10934231,1241,D000707,1
10934231,1241,D007249,1
10936883,4023,D000544,1
10937553,5308,C535679,1
10938021,19,D013631,1
10938021,19,D052456,1
10939566,1756,D020388,1
10942115,3242,D020176,1
10942140,6352,D009298,1
10942404,2235,D046351,1
10943070,7421,D014397,1
10943700,2,D010300,1
10944113,7428,D006623,1
10944223,6329,C567635,1
10944848,5476,C536411,1
10944853,4437,D053842,1
10945665,773,D020754,1
10946006,4547,D000012,1
10946885,2169,D020521,1
10947946,26503,D029461,1
10951459,5663,D004314,1
10951468,6662,D055036,1
10951531,337,D009765,1
10953177,3552,D000544,1
10954200,368,D011561,1
10955109,1636,D003924,1
10956405,1588,D001943,1
10958653,9499,C535906,1
10958654,158,C538235,1
10959838,2272,D008175,1
10961667,348,D000544,1
10964512,5019,C537527,1
10967184,7421,D009103,1
10973241,7040,D003966,1
10973260,4627,C535507,1
10976654,2,D000544,1
10978268,3949,D006938,1
10980348,3123,D013625,1
10980529,6513,D002658,1
10980529,6513,D008831,1
10980529,6513,D012640,1
10980531,4351,C535740,1
10980539,215,D000326,1
10980545,4763,D009456,1
10980579,1080,D012507,1
10981040,183,D006973,1
10982033,2022,D013683,1
10982773,540,D006527,1
10983602,3552,D010518,1
10983956,2706,C580334,1
10984545,9992,D008133,1
10986046,60528,D011471,1
10987270,1033,D006528,1
10987645,7916,D003922,1
10987649,2643,C538007,1
10987655,773,C535506,1
10988270,6559,D053579,1
10988274,185,D006973,1
10991688,4204,D015518,1
10991689,4204,D015518,1
10993647,4221,D018761,1
10995508,1717,D019082,1
10997988,462,D020152,1
11001912,3569,D012514,1
11003599,5027,D015451,1
11004247,5251,D053098,1
11004279,1287,D009394,1
11006010,3567,D004802,1
11006213,9094,D012174,1
11006314,3953,D011085,1
11007234,7172,D003093,1
11007475,57379,D053306,1
11007831,1636,D003924,1
11008905,1029,D004416,1
11008905,1029,D008545,1
11008907,10,D001943,1
11009184,127,D010300,1
11012881,4868,C535761,1
11013136,6341,D030401,1
11013452,3145,D017118,1
11014350,3117,D012595,1
11014350,3123,D012595,1
11014614,3479,D001851,1
11015479,4524,D003928,1
11016621,3845,D008175,1
11017065,10804,D004476,1
11017071,11132,D003924,1
11017080,4976,D029241,1
11017804,127534,D056266,1
11017955,551,D020790,1
11018078,6833,D044903,1
11020646,410,D007966,1
11022254,10,D001249,1
11022771,2214,D010518,1
11022930,3458,D001172,1
11023482,3552,D008589,1
11023675,2252,D005885,1
11023810,4627,C535507,1
11024211,2539,D005955,1
11024215,1636,D006973,1
11027344,3115,D001943,1
11027344,3119,D001943,1
11027344,3123,D001943,1
11027508,9997,D002312,1
11027508,9997,D030401,1
11028479,270,D003324,1
11030378,4846,D001249,1
11030412,6473,C537119,1
11030761,4281,C567932,1
11030801,348,D020521,1
11032376,1848,D019964,1
11032386,1815,D001289,1
11032391,4923,D012559,1
11032626,348,D000544,1
11034103,5468,D000230,1
11034103,5468,D010190,1
11035134,3565,D001172,1
11035665,7124,D029424,1
11036113,1586,D001943,1
11037803,1543,D008175,1
11037803,2944,D008175,1
11037893,2214,D001172,1
11038774,3375,D003924,1
11039580,3581,D001249,1
11040019,6403,D009203,1
11040535,324,D011125,1
11040944,7157,D013274,1
11043508,540,D006527,1
11043867,3170,D003924,1
11044354,672,D001943,1
11044354,675,D001943,1
11044903,10,D001749,1
11045782,2944,D008175,1
11045782,2952,D008175,1
11045783,1813,D008175,1
11045785,7157,D008175,1
11045794,126,D001943,1
11045836,3119,D002446,1
11045836,3123,D002446,1
11045853,3557,D000437,1
11048629,4524,D008591,1
11048629,4524,D020138,1
11050659,3949,D006938,1
11051113,1287,D009394,1
11051286,5696,D003922,1
11051367,3077,D006432,1
11053295,5959,C562733,1
11054622,1636,D006973,1
11054768,1815,D006556,1
11054769,1813,D000437,1
11054773,1816,D000987,1
11054773,1816,D019955,1
11054773,1816,D019958,1
11055624,1565,D004412,1
11055624,2944,D004412,1
11055898,4204,D015518,1
11056092,1071,D017202,1
11057869,3273,C567737,1
11058710,348,D050197,1
11058895,5373,C535739,1
11058898,182,D016738,1
11059748,7517,D008545,1
11059748,7517,D012878,1
11059750,2950,D001943,1
11059764,1586,D011470,1
11059764,1586,D011471,1
11060506,348,D000544,1
11061249,348,D016657,1
11062156,2944,D008175,1
11062461,10461,D012174,1
11062471,60506,C536122,1
11062472,60506,C536122,1
11063718,351,D000544,1
11063791,1814,D012559,1
11064106,3119,D003922,1
11064106,6402,D003922,1
11065130,322,D000544,1
11065142,3552,D000544,1
11069625,7389,D017119,1
11071489,2548,D006009,1
11072138,348,D003704,1
11072751,3569,D010300,1
11072751,7124,D010300,1
11072751,7132,D010300,1
11073323,3552,D010518,1
11073548,2706,D006319,1
11073850,5444,D014652,1
11073851,4524,D003327,1
11074187,1392,D012640,1
11074187,6529,D012640,1
11074242,5498,D046350,1
11074495,2706,D003638,1
11074789,1471,D000544,1
11074789,348,D000544,1
11076046,2717,D000795,1
11076048,185,D003324,1
11076057,348,D000544,1
11076057,4035,D000544,1
11076651,3553,D010190,1
11078465,58158,D003924,1
11078852,5959,C562733,1
11078932,1636,D000544,1
11079515,1636,D017379,1
11079515,185,D017379,1
11079552,3552,D000544,1
11079552,3553,D000544,1
11079661,1636,D003324,1
11082157,3291,D006973,1
11082157,4158,D006973,1
11082516,3117,D007676,1
11082516,3119,D007676,1
11082516,3123,D007676,1
11085290,2147,D013927,1
11085290,2153,D013927,1
11085290,4524,D013927,1
11085290,2147,D016736,1
11085290,2153,D016736,1
11085290,4524,D016736,1
11085290,2147,D019851,1
11085290,2153,D019851,1
11085290,4524,D019851,1
11086027,19,D013631,1
11086027,19,D052456,1
11086105,1493,D006111,1
11087769,4353,D000544,1
11087788,6683,C536865,1
11089532,5465,D009765,1
11089532,5468,D009765,1
11090341,64072,C563327,1
11091191,5054,D013927,1
11092760,538,D007706,1
11093276,2189,D005199,1
11093435,3123,D001172,1
11093441,3123,D001172,1
11093441,3123,D012859,1
11093740,540,D006527,1
11094121,5663,D057180,1
11094312,1586,D001943,1
11095479,348,D012618,1
11095479,348,D013163,1
11095526,348,D000544,1
11095717,7274,D014811,1
11095717,348,D050197,1
11095717,7274,D050197,1
11096050,5444,D005923,1
11096258,3106,D013167,1
11096258,6890,D013167,1
11096258,6891,D013167,1
11096266,4524,D004461,1
11096266,4524,D011225,1
11097234,672,D001943,1
11097234,675,D001943,1
11097234,672,D010051,1
11097234,675,D010051,1
11097352,1565,D010300,1
11098934,3117,D003922,1
11098934,3119,D003922,1
11098934,3123,D003922,1
11099722,348,D000544,1
11101842,3630,D009765,1
11101850,3339,D010009,1
11101853,5788,D009103,1
11102990,5498,D046350,1
11102994,4221,D018761,1
11103801,2876,D008175,1
11103816,367,D011471,1
11104559,4292,D015179,1
11104559,4436,D015179,1
11104661,1080,D003550,1
11104741,3357,D006349,1
11104840,1814,D012559,1
11104840,6531,D012559,1
11106564,29929,C535741,1
11109009,348,D009103,1
11110971,4968,D004938,1
11110972,185,D006973,1
11112032,3440,D006509,1
11112111,4842,D001249,1
11112665,7248,D014402,1
11112665,7249,D014402,1
11112984,2645,D007333,1
11113070,3123,D003093,1
11113070,4795,D003093,1
11113234,2643,C538007,1
11113848,190,C536757,1
11114141,3077,D006432,1
11114141,3077,D019190,1
11115080,5657,D014890,1
11115343,2153,D009765,1
11116123,1113,D010673,1
11117541,4137,D057180,1
11118025,3952,D009765,1
11118260,348,D000544,1
11118260,348,D020803,1
11118403,4524,D011225,1
11118403,4524,D017359,1
11119745,1080,C535984,1
11120925,5621,D007729,1
11120931,3119,D014435,1
11120931,3123,D014435,1
11120931,4049,D014435,1
11120931,7124,D014435,1
11121173,3782,D001714,1
11121173,3782,D012559,1
11121176,4524,D008881,1
11121182,100,D001321,1
11121184,3356,D000437,1
11121190,7124,D000544,1
11121194,6532,D001714,1
11121195,2099,D001714,1
11122322,1636,D009203,1
11122322,185,D009203,1
11125748,348,D000544,1
11125748,590,D000544,1
11126413,7352,D003924,1
11126413,7352,D009765,1
11128657,1493,D001172,1
11129427,7366,D011471,1
11130248,7157,D001749,1
11130383,672,D001943,1
11130383,675,D001943,1
11130769,5740,D002544,1
11131031,2944,D001749,1
11131031,2950,D001749,1
11131031,2952,D001749,1
11131031,2944,D011471,1
11131031,2950,D011471,1
11131031,2952,D011471,1
11132933,12,D016657,1
11133719,4524,D012170,1
11134142,4221,D018761,1
11134145,4023,D008072,1
11135225,3440,D008545,1
11136233,8431,D009765,1
11136691,3757,D008133,1
11136691,3784,D008133,1
11136691,6331,D008133,1
11136715,6513,C536830,1
11137090,1636,D009203,1
11137090,185,D009203,1
11137993,50943,C580192,1
11138011,2670,D038261,1
11139247,182,D016738,1
11139248,675,D001943,1
11139648,4166,C537834,1
11140377,3952,D009765,1
11141322,1234,D015212,1
11141572,348,D008268,1
11141589,5443,D009325,1
11142418,2944,D011471,1
11142418,2952,D011471,1
11142760,2332,D005600,1
11142761,2332,D005600,1
11145038,2212,D008180,1
11145038,2214,D008180,1
11145356,3552,D010510,1
11148249,3060,D009290,1
11149425,672,D001943,1
11149425,675,D001943,1
11150333,842,D009422,1
11150885,551,D020790,1
11150892,1312,D012559,1
11151443,4763,D010673,1
11151887,3077,D006432,1
11151887,3077,D006526,1
11151887,3077,D017119,1
11152664,182,D013771,1
11152862,348,D003327,1
11153762,348,D003327,1
11153907,5860,D010661,1
11153910,4669,D009084,1
11153915,1544,D017119,1
11156380,6817,D001943,1
11156623,348,D000544,1
11157318,4524,D014652,1
11157409,348,D000544,1
11157794,11136,D003555,1
11157799,540,D006527,1
11157799,538,D007706,1
11157803,182,D016738,1
11158173,1075,D010214,1
11159795,1548,D008175,1
11159935,4914,D009477,1
11160955,348,D003704,1
11161831,1717,D019082,1
11161832,7466,D014929,1
11161848,3572,D010051,1
11161848,3590,D010051,1
11163249,23562,D003638,1
11163295,1312,D010300,1
11164181,6716,D011471,1
11164908,3566,D009103,1
11165394,7157,D008175,1
11165718,3117,D003922,1
11165718,3119,D003922,1
11165718,3123,D003922,1
11166081,1312,D005879,1
11166081,6532,D005879,1
11166758,1593,D050197,1
11167698,1294,D016108,1
11167787,7454,C564052,1
11167787,7454,D014923,1
11167791,2815,D001606,1
11167807,1493,D009101,1
11167982,3849,D053560,1
11168024,1080,D003550,1
11168027,6401,D003324,1
11168787,1636,D012507,1
11168790,1281,D004535,1
11168953,6559,D053579,1
11169021,4524,D020138,1
11169956,2944,D001943,1
11169956,2950,D001943,1
11170082,4524,D002971,1
11170082,4524,D002972,1
11170229,338,D003327,1
11170505,7249,D007680,1
11170896,3075,C562875,1
11171827,999,D015179,1
11172633,3356,D005879,1
11172643,1543,D004412,1
11173876,348,D000544,1
11173876,3949,D000544,1
11173882,348,D000544,1
11173882,6622,D000544,1
11175283,7957,D020192,1
11175293,1641,D054221,1
11175300,4210,D000686,1
11175304,1080,D001249,1
11175793,5156,D009436,1
11175794,3593,D003922,1
11175853,2621,D013927,1
11176446,7124,D002292,1
11176446,7124,D007680,1
11176958,348,D010300,1
